country,region_code,n_ai_postings,region,n_postings,ai_share
india,INKA,6468,karnataka,119766,0.054005310355192626
israel,IL05,33,tel aviv,759,0.043478260869565216
united states,US53,3265,washington,135915,0.024022366920501786
india,INMH,2723,maharashtra,114240,0.02383578431372549
united states,US11,725,district of columbia,35883,0.02020455368837611
china,CNBJ,17,beijing,851,0.0199764982373678
china,CNSH,37,shanghai,1864,0.01984978540772532
united states,US25,2844,massachusetts,160698,0.017697793376395474
united states,US06,9344,california,538763,0.017343433012289262
india,INDL,823,delhi,48149,0.017092774512450934
germany,DE30,1449,,85870,0.01687434494002562
japan,JPD,17,southern kanto,1022,0.016634050880626222
united kingdom,UKH1,670,,41309,0.016219225834563897
spain,ES30,352,madrid,22492,0.015650008892050506
united states,US36,3633,new york,259058,0.014023886542781925
israel,IL01,3,jerusalem,215,0.013953488372093023
korea south,KR01,13,capital region,980,0.013265306122448979
denmark,DK01,363,hovedstaden,28346,0.012806039652861074
canada,CA35,2653,ontario,207609,0.012778829434176745
japan,JPG,3,kansai,235,0.01276595744680851
china,CNJS,3,jiangsu,245,0.012244897959183673
spain,ES51,259,catalonia,21636,0.011970789425032354
sweden,SE11,184,stockholm,16104,0.011425732737208148
united states,US48,4468,texas,407545,0.010963206517071734
united states,US34,1567,new jersey,144631,0.010834468405805119
united states,US24,1138,maryland,108371,0.010500964280111838
taiwan,TWHSQ,12,hsinchu,1196,0.010033444816053512
germany,DE2,1417,bavaria,147297,0.00962001941655295
united kingdom,UKJ1,283,,32063,0.008826373078002683
united states,US17,1735,illinois,209974,0.008262927791059846
germany,DE1,650,baden-wurttemberg,80623,0.008062215496818525
united states,US26,1059,michigan,137325,0.007711632987438558
united states,US42,1670,pennsylvania,224081,0.007452662206969801
france,FR10,1252,,170986,0.0073222369082848885
taiwan,TWNWT,32,new taipei,4460,0.007174887892376682
taiwan,TWTPE,38,taipei,5547,0.006850549846764017
canada,CA24,567,quebec,85878,0.006602389436176902
switzerland,CH04,97,zurich,14754,0.0065744882743662735
turkey,TR10,223,istanbul,35807,0.006227832546708744
sweden,SE22,69,south sweden,11281,0.006116479035546494
sweden,SE23,106,west sweden,17532,0.006046087154916724
united states,US09,383,connecticut,66964,0.005719491069828565
switzerland,CH01,19,région lemanique,3390,0.005604719764011799
united kingdom,UKH2,105,,21903,0.004793863854266539
united kingdom,UKJ3,166,,35848,0.004630662798482481
italy,ITI4,89,lazio,19349,0.0045997209158096025
hong kong,,757,,177824,0.004257018175274428
united kingdom,UKJ2,114,,26808,0.004252461951656222
germany,DE9,325,lower saxony,92406,0.003517087635002056
switzerland,CH07,2,ticino,570,0.0035087719298245615
netherlands,NL33,198,zuid-holland,58904,0.0033614016026076326
netherlands,NL41,166,noord-brabant,53005,0.003131780020752759
russia,RUMOW,67,moskva,23347,0.0028697477191930443
united kingdom,UKJ4,42,,20594,0.0020394289598912306
united kingdom,UKE4,8,,3983,0.002008536279186543
switzerland,CH03,8,northwestern switzerland,3987,0.00200652119388011
austria,,330,,177824,0.001855767500449883
italy,ITC4,107,lombardy,62201,0.0017202295783025996
switzerland,CH06,11,central switzerland,6570,0.0016742770167427702
italy,ITC1,39,piedmont,23709,0.0016449449576110338
united kingdom,UKH3,30,,18689,0.0016052223232917758
italy,ITI1,26,tuscany,16817,0.0015460545876196706
united kingdom,UKF2,8,,5420,0.0014760147601476014
taiwan,TWTXG,4,taichung,3313,0.0012073649260488982
switzerland,CH02,11,espace mittelland,9616,0.0011439267886855242
italy,ITH3,24,veneto,40236,0.0005964807634953773
switzerland,,83,,177824,0.00046675364405254636
