bloom_field,bloom_code
3d printing,1
Autonomous Cars,2
Bispecific monoclonal antibody,3
Cloud computing,4
Computer vision,5
Drug conjugates,6
Electronic gaming,7
Millimeter wave,8
Fingerprint sensor,9
Fracking,10
GPS,11
Hybrid vehicle electric car,12
Lane departure warning,13
Lithium battery,14
Machine Learning AI,15
Mobile payment,16
Oled display,17
Online streaming,18
Rfid tags,19
Search Engine,20
Smart devices,21
Social Networking,22
Software defined radio,23
Solar Power,24
Stent graft,25
Touchscreen,26
Virtual Reality,27
Wifi,28
Wireless charging,29
